SSCSUserName,SSCSUserPassword,SSCSJurisdiction,SSCSCaseType,idamId
ccdloadtest527@gmail.com,Password12,SSCS,Benefit,547091
ccdloadtest528@gmail.com,Password12,SSCS,Benefit,547092
ccdloadtest529@gmail.com,Password12,SSCS,Benefit,547093
ccdloadtest530@gmail.com,Password12,SSCS,Benefit,547094
ccdloadtest531@gmail.com,Password12,SSCS,Benefit,547095
ccdloadtest532@gmail.com,Password12,SSCS,Benefit,547096
ccdloadtest533@gmail.com,Password12,SSCS,Benefit,547097
ccdloadtest534@gmail.com,Password12,SSCS,Benefit,547098
ccdloadtest535@gmail.com,Password12,SSCS,Benefit,547099
ccdloadtest536@gmail.com,Password12,SSCS,Benefit,547100
ccdloadtest537@gmail.com,Password12,SSCS,Benefit,547101
ccdloadtest538@gmail.com,Password12,SSCS,Benefit,547102
ccdloadtest539@gmail.com,Password12,SSCS,Benefit,547103
ccdloadtest540@gmail.com,Password12,SSCS,Benefit,547104
ccdloadtest541@gmail.com,Password12,SSCS,Benefit,547105
ccdloadtest542@gmail.com,Password12,SSCS,Benefit,547106
ccdloadtest543@gmail.com,Password12,SSCS,Benefit,547107
ccdloadtest544@gmail.com,Password12,SSCS,Benefit,547108
ccdloadtest545@gmail.com,Password12,SSCS,Benefit,547109
ccdloadtest546@gmail.com,Password12,SSCS,Benefit,547110
ccdloadtest547@gmail.com,Password12,SSCS,Benefit,547111
ccdloadtest548@gmail.com,Password12,SSCS,Benefit,547112
ccdloadtest549@gmail.com,Password12,SSCS,Benefit,547113
ccdloadtest550@gmail.com,Password12,SSCS,Benefit,547114
ccdloadtest551@gmail.com,Password12,SSCS,Benefit,547115
ccdloadtest552@gmail.com,Password12,SSCS,Benefit,547116
ccdloadtest553@gmail.com,Password12,SSCS,Benefit,547117
ccdloadtest554@gmail.com,Password12,SSCS,Benefit,547118
ccdloadtest555@gmail.com,Password12,SSCS,Benefit,547119
ccdloadtest556@gmail.com,Password12,SSCS,Benefit,547120
ccdloadtest557@gmail.com,Password12,SSCS,Benefit,547121
ccdloadtest558@gmail.com,Password12,SSCS,Benefit,547122
ccdloadtest559@gmail.com,Password12,SSCS,Benefit,547123
ccdloadtest560@gmail.com,Password12,SSCS,Benefit,547124
ccdloadtest561@gmail.com,Password12,SSCS,Benefit,547125
ccdloadtest562@gmail.com,Password12,SSCS,Benefit,547126
ccdloadtest563@gmail.com,Password12,SSCS,Benefit,547127
ccdloadtest564@gmail.com,Password12,SSCS,Benefit,547128
ccdloadtest565@gmail.com,Password12,SSCS,Benefit,547129
ccdloadtest566@gmail.com,Password12,SSCS,Benefit,547130
ccdloadtest567@gmail.com,Password12,SSCS,Benefit,547131
ccdloadtest568@gmail.com,Password12,SSCS,Benefit,547132
ccdloadtest569@gmail.com,Password12,SSCS,Benefit,547133
ccdloadtest570@gmail.com,Password12,SSCS,Benefit,547134
ccdloadtest571@gmail.com,Password12,SSCS,Benefit,547135
ccdloadtest572@gmail.com,Password12,SSCS,Benefit,547136
ccdloadtest573@gmail.com,Password12,SSCS,Benefit,547137
ccdloadtest574@gmail.com,Password12,SSCS,Benefit,547138
ccdloadtest575@gmail.com,Password12,SSCS,Benefit,547139
ccdloadtest576@gmail.com,Password12,SSCS,Benefit,547140
ccdloadtest577@gmail.com,Password12,SSCS,Benefit,547141
ccdloadtest578@gmail.com,Password12,SSCS,Benefit,547142
ccdloadtest579@gmail.com,Password12,SSCS,Benefit,547143
ccdloadtest580@gmail.com,Password12,SSCS,Benefit,547144
ccdloadtest581@gmail.com,Password12,SSCS,Benefit,547145
ccdloadtest582@gmail.com,Password12,SSCS,Benefit,547146
ccdloadtest583@gmail.com,Password12,SSCS,Benefit,547147
ccdloadtest584@gmail.com,Password12,SSCS,Benefit,547148
ccdloadtest585@gmail.com,Password12,SSCS,Benefit,547149
ccdloadtest586@gmail.com,Password12,SSCS,Benefit,547150
ccdloadtest587@gmail.com,Password12,SSCS,Benefit,547151
ccdloadtest588@gmail.com,Password12,SSCS,Benefit,547152
ccdloadtest589@gmail.com,Password12,SSCS,Benefit,547153
ccdloadtest590@gmail.com,Password12,SSCS,Benefit,547154
ccdloadtest591@gmail.com,Password12,SSCS,Benefit,547155
ccdloadtest592@gmail.com,Password12,SSCS,Benefit,547156
ccdloadtest593@gmail.com,Password12,SSCS,Benefit,547157
ccdloadtest594@gmail.com,Password12,SSCS,Benefit,547158
ccdloadtest595@gmail.com,Password12,SSCS,Benefit,547159
ccdloadtest596@gmail.com,Password12,SSCS,Benefit,547160
ccdloadtest597@gmail.com,Password12,SSCS,Benefit,547161
ccdloadtest598@gmail.com,Password12,SSCS,Benefit,547162
ccdloadtest599@gmail.com,Password12,SSCS,Benefit,547163
ccdloadtest600@gmail.com,Password12,SSCS,Benefit,547164
